Query_number,doc_number
1002330,196706
1002330,410158
1002274,99999
1002274,1
1002274,10
1002252,112609
1002252,337663
1002252,39531
1002238,69677
1002238,225887
1002238,135085
1002197,349821
1002197,69424
1002197,418813
1002148,264285
1002148,404823
1002148,408555
1002058,298100
1002058,365019
1002058,19329
1001999,209693
1001999,459229
1001999,262626
1099368,122587
1099368,35590
1099368,499809
1001926,55923
1001926,418730
1001926,401655
1001903,396440
1001903,231812
1001903,80519
1001810,386328
1001810,136550
1001810,149951
1001454,99999
1001454,1
1001454,10
1000864,306382
1000864,294957
1000864,195272
1000798,2701
1000798,308089
1000798,23707
1000681,129838
1000681,457108
1000681,23713
1000574,44780
1000574,236624
1000574,288278
1000519,178860
1000519,108722
1000519,378213
1000459,52504
1000459,386092
1000459,105731
1000319,52659
1000319,285763
1000319,315701
1000272,288530
1000272,484940
1000272,18517
1102121,373033
1102121,289564
1102121,233801
1000083,99999
1000083,1
1000083,10
1000030,21181
1000030,114119
1000030,68685
1000017,112822
1000017,431051
1000017,307566
1000006,362690
1000006,110012
1000006,297968
1000004,270568
1000004,377066
1000004,214559
1000000,391590
1000000,106895
1000000,200059
999942,105813
999942,38139
999942,245086
999836,279068
999836,80137
999836,439609
999791,147340
999791,257685
999791,180107
999691,241445
999691,499796
999691,441296
999685,325890
999685,462008
999685,57199
999567,266211
999567,268868
999567,492192
999552,99999
999552,1
999552,10
999550,99999
999550,1
999550,10
999517,471247
999517,28494
999517,242242
999469,441873
999469,201621
999469,214372
999439,143332
999439,132406
999439,488915
999416,99999
999416,1
999416,10
999385,477574
999385,284287
999385,475076
999356,488862
999356,18242
999356,185712
1099321,342539
1099321,92997
1099321,14747
999192,146369
999192,147309
999192,348922
999110,99999
999110,1
999110,10
999089,32052
999089,72688
999089,490802
999086,99999
999086,1
999086,10
998965,363558
998965,57036
998965,180734
998905,157583
998905,441479
998905,222195
998891,149621
998891,267610
998891,270224
998802,350731
998802,384515
998802,265078
998735,471247
998735,28494
998735,242242
998681,99999
998681,1
998681,10
998680,187375
998680,334566
998680,89807
998675,99999
998675,1
998675,10
998658,191177
998658,433330
998658,90175
998646,45960
998646,488685
998646,431044
998641,307835
998641,377295
998641,54104
998591,99999
998591,1
998591,10
998493,74548
998493,1507
998493,79509
998417,99999
998417,1
998417,10
998309,39104
998309,104098
998309,107434
998247,99999
998247,1
998247,10
998246,37664
998246,305927
998246,44334
998174,338012
998174,277567
998174,98578
998101,99999
998101,1
998101,10
1099290,169532
1099290,65746
1099290,207058
998013,99999
998013,1
998013,10
997935,201583
997935,185507
997935,404256
997932,420116
997932,154240
997932,210391
1099288,268092
1099288,396140
1099288,158369
997878,99999
997878,1
997878,10
997860,106943
997860,358351
997860,469268
1099284,264285
1099284,404823
1099284,408555
997744,139063
997744,72720
997744,449423
997713,100158
997713,491697
997713,237232
997649,416043
997649,73080
997649,18129
997648,420633
997648,368821
997648,449835
997542,33690
997542,58935
997542,209074
997481,176173
997481,456876
997481,492351
997449,99999
997449,1
997449,10
997351,99999
997351,1
997351,10
997086,322474
997086,61643
997086,354698
997044,14451
997044,360132
997044,177499
996922,14451
996922,360132
996922,177499
996835,402448
996835,468455
996835,137765
996825,99999
996825,1
996825,10
996805,365556
996805,466811
996805,151089
996623,408775
996623,130831
996623,99099
996414,411813
996414,334585
996414,154608
996328,148219
996328,48210
996328,205913
996272,411813
996272,334585
996272,154608
996181,377897
996181,202791
996181,358388
996119,32052
996119,72688
996119,490802
995806,447796
995806,288074
995806,142657
995805,223471
995805,490805
995805,411442
995787,249804
995787,5331
995787,230180
995756,99999
995756,1
995756,10
995380,131230
995380,80740
995380,302171
995280,318562
995280,395416
995280,387076
995221,431887
995221,461209
995221,375466
995141,99999
995141,1
995141,10
994867,110070
994867,99541
994867,24520
994830,362610
994830,416171
994830,157463
1099226,99999
1099226,1
1099226,10
994792,470937
994792,210449
994792,182452
994688,196217
994688,302489
994688,116251
994533,116722
994533,322120
994533,63002
994479,264352
994479,436508
994479,286429
994397,412717
994397,375093
994397,292521
1099219,415715
1099219,145355
1099219,82775
994338,180965
994338,55266
994338,161164
1099217,14120
1099217,42547
1099217,362663
994228,127893
994228,293355
994228,377130
994133,232897
994133,388996
994133,267165
994085,126019
994085,182734
994085,163410
994005,382762
994005,201070
994005,931
993996,128881
993996,99189
993996,266187
993987,2245
993987,12962
993987,68825
993834,206030
993834,412430
993834,205516
993821,194571
993821,360437
993821,23981
993795,357712
993795,34505
993795,87213
993748,412763
993748,261072
993748,95258
993627,296778
993627,123427
993627,281568
993320,28225
993320,423025
993320,425131
993255,129401
993255,272720
993255,385916
993178,44280
993178,52880
993178,112402
993153,295432
993153,468243
993153,242609
993041,394656
993041,286282
993041,40
992950,419379
992950,478128
992950,304156
992949,332916
992949,296555
992949,248082
992946,224022
992946,184611
992946,271704
992840,500321
992840,355421
992840,161476
992839,262813
992839,239277
992839,89349
992677,364616
992677,498671
992677,338527
992660,383473
992660,234734
992660,131772
992659,415836
992659,345648
992659,372220
992605,440280
992605,178850
992605,59117
992559,485223
992559,40931
992559,322868
992535,469062
992535,345227
992535,433312
992531,129862
992531,287745
992531,158381
1099178,119524
1099178,444497
1099178,451107
992433,303514
992433,366814
992433,457807
992407,469408
992407,306935
992407,473486
992367,363160
992367,300073
992367,192906
992365,62681
992365,273075
992365,488808
992363,153907
992363,408426
992363,237840
992257,427552
992257,492732
992257,13561
992224,476766
992224,223874
992224,219511
992193,276042
992193,449735
992193,8476
992191,99999
992191,1
992191,10
992132,234492
992132,200344
992132,225249
992120,453708
992120,133750
992120,80838
991854,191052
991854,41034
991854,42519
991832,440645
991832,223076
991832,399492
991782,99999
991782,1
991782,10
991762,330285
991762,232719
991762,108575
991685,108712
991685,201656
991685,404778
991471,247456
991471,196706
991471,410158
991342,99999
991342,1
991342,10
991324,305439
991324,253430
991324,499985
991210,99999
991210,1
991210,10
991207,376011
991207,253340
991207,328467
991171,302878
991171,126822
991171,156826
991111,471247
991111,28494
991111,242242
991044,99999
991044,1
991044,10
991032,8719
991032,173049
991032,178901
990995,99999
990995,1
990995,10
990938,99999
990938,1
990938,10
990852,496477
990852,254457
990852,49123
990841,99999
990841,1
990841,10
990763,267218
990763,341109
990763,148866
990649,46199
990649,61227
990649,160603
990414,313319
990414,441453
990414,459306
990375,99999
990375,1
990375,10
990345,99999
990345,1
990345,10
990026,225928
990026,407979
990026,72720
989894,295783
989894,444332
989894,140046
989870,428802
989870,216377
989870,182692
989831,99999
989831,1
989831,10
989573,99999
989573,1
989573,10
989530,340077
989530,293175
989530,344169
1099105,332474
1099105,179436
1099105,99184
989296,99999
989296,1
989296,10
989213,456600
989213,71885
989213,12787
989042,2024
989042,177066
989042,114457
988954,1104
988954,159737
988954,386410
988915,325668
988915,394895
988915,11587
1102400,138345
1102400,123466
1102400,74627
988787,94926
988787,414274
988787,83475
988745,462002
988745,165644
988745,199626
988743,210218
988743,435154
988743,225739
988710,359325
988710,97861
988710,86269
988653,184619
988653,296375
988653,392691
988636,27075
988636,281566
988636,239787
988540,99999
988540,1
988540,10
988504,46067
988504,381885
988504,107299
1099072,484338
1099072,209179
1099072,411915
988253,353305
988253,14198
988253,27300
988124,99999
988124,1
988124,10
988122,160402
988122,86705
988122,264052
988121,170454
988121,421638
988121,3962
988119,228819
988119,187477
988119,303963
1099065,330606
1099065,171741
1099065,160307
987845,417455
987845,19724
987845,126323
987823,273096
987823,385852
987823,400876
987822,391713
987822,444349
987822,292690
987809,99999
987809,1
987809,10
987671,118745
987671,134777
987671,347190
987573,377981
987573,327266
987573,411423
987567,422222
987567,201149
987567,468173
987502,416043
987502,73080
987502,18129
987309,472799
987309,493286
987309,7555
987237,282477
987237,338809
987237,407729
987230,494019
987230,26906
987230,267090
1099050,349188
1099050,52082
1099050,142899
987192,269607
987192,492228
987192,67642
987183,99999
987183,1
987183,10
987066,12182
987066,123490
987066,135389
986936,99999
986936,1
986936,10
986852,350572
986852,281227
986852,394005
986793,410373
986793,398011
986793,399600
986791,99999
986791,1
986791,10
986733,99999
986733,1
986733,10
986494,458718
986494,135204
986494,403244
986484,99999
986484,1
986484,10
986427,281579
986427,382697
986427,323857
986411,469125
986411,487787
986411,334668
986316,279923
986316,86790
986316,267224
986210,155955
986210,336846
986210,83418
986162,1626
986162,124870
986162,420240
986068,106407
986068,317454
986068,46072
985461,325549
985461,375190
985461,398611
985433,38977
985433,411490
985433,313584
985431,283462
985431,185935
985431,371441
985372,222389
985372,129633
985372,448934
985360,222389
985360,129633
985360,448934
985275,479858
985275,48202
985275,205377
985259,99999
985259,1
985259,10
985173,256647
985173,473347
985173,310301
985167,230540
985167,24928
985167,286129
985165,70668
985165,188830
985165,68861
985158,348087
985158,406851
985158,460955
984992,410952
984992,99613
984992,106507
984948,12276
984948,92240
984948,353180
984856,189006
984856,446136
984856,153910
984774,280748
984774,168365
984774,385130
129837,262175
129837,171455
129837,123712
241405,127211
241405,394301
241405,10427
61452,480801
61452,492203
61452,346876
173001,219166
173001,456559
173001,42115
197024,89307
197024,249552
197024,258408
81993,262651
81993,126729
81993,324930
186446,312429
186446,242173
186446,119545
86624,64282
86624,272656
86624,382624
98817,95004
98817,19342
98817,366888
246626,138157
246626,446648
246626,362817
373121,158789
373121,112218
373121,314539
240504,139358
240504,103231
240504,573
112035,258408
112035,219575
112035,202904
141353,495529
141353,399418
141353,460144
11006,205136
11006,130403
11006,153111
235832,428308
235832,113788
235832,197911
96379,488127
96379,501674
96379,356317
1098967,31542
1098967,469310
1098967,414601
298565,25711
298565,385175
298565,285347
86094,283925
86094,19859
86094,9679
141694,99999
141694,1
141694,10
320117,388013
320117,400264
320117,305337
281002,44101
281002,101713
281002,481895
353623,326775
353623,297771
353623,461717
1098953,493081
1098953,214488
1098953,178548
60357,383330
60357,3950
60357,287310
58583,359421
58583,241076
58583,31360
262974,388726
262974,158864
262974,397280
334754,35520
334754,3121
334754,265342
36214,278888
36214,248507
36214,87826
96749,99999
96749,1
96749,10
181394,99999
181394,1
181394,10
296993,20553
296993,135626
296993,280263
75608,238674
75608,431059
75608,402391
83448,6952
83448,294811
83448,129924
270603,331238
270603,128840
270603,198070
1098927,286201
1098927,107264
1098927,251468
183046,246473
183046,212104
183046,490407
362845,432623
362845,408094
362845,386052
164528,99999
164528,1
164528,10
244821,439637
244821,106809
244821,59693
95409,240984
95409,157269
95409,429896
293401,501135
293401,188945
293401,63522
1098909,438865
1098909,274886
1098909,145983
176015,187014
176015,305679
176015,425631
323798,472388
323798,442179
323798,23990
10157,388007
10157,142842
10157,211354
137919,226762
137919,128674
137919,291563
8854,412450
8854,214257
8854,463119
1098905,30419
1098905,232749
1098905,422648
89777,296313
89777,40612
89777,199765
97895,262419
97895,95713
97895,125002
149447,349775
149447,334310
149447,419850
239516,474635
239516,472582
239516,466382
299350,153520
299350,415964
299350,106044
323535,28552
323535,400040
323535,447172
1098895,51395
1098895,80730
1098895,187641
1098874,392361
1098874,155261
1098874,138607
253678,295821
253678,448752
253678,315811
160562,137863
160562,484280
160562,293958
282530,97371
282530,162574
282530,471409
166043,126178
166043,100686
166043,255369
357162,211449
357162,462698
357162,290537
328629,228330
328629,304501
328629,366341
1098860,374171
1098860,346915
1098860,201424
122440,297265
122440,134373
122440,217546
53813,381100
53813,190267
53813,446111
10312,99999
10312,1
10312,10
88577,134068
88577,430769
88577,61535
1098846,330835
1098846,108691
1098846,81945
109276,324826
109276,165950
109276,343290
15382,357712
15382,34505
15382,87213
29097,65077
29097,150229
29097,341163
185009,115085
185009,255573
185009,150151
98682,434923
98682,231991
98682,324686
230082,363499
230082,294153
230082,349256
194531,266994
194531,361488
194531,177335
168069,101041
168069,243558
168069,22861
1098809,74021
1098809,273351
1098809,399335
1098806,398717
1098806,313899
1098806,16641
1098804,329021
1098804,262488
1098804,353916
168238,150277
168238,387569
168238,53177
242219,186468
242219,299495
242219,265193
127315,223944
127315,8529
127315,333019
203688,337767
203688,280673
203688,187933
176994,194399
176994,258408
176994,219575
160255,372447
160255,164993
160255,248009
47864,267880
47864,427007
47864,493097
292676,469125
292676,487787
292676,334668
222954,106016
222954,454701
222954,298359
36965,249255
36965,398382
36965,144094
272500,228281
272500,220699
272500,392248
2962,258790
2962,343813
2962,90366
125545,99999
125545,1
125545,10
1098765,336798
1098765,427383
1098765,254702
11133,372383
11133,204898
11133,416188
1098763,21900
1098763,84504
1098763,62817
118365,99999
118365,1
118365,10
172981,376232
172981,113927
172981,276379
96310,152648
96310,124951
96310,478197
276338,168876
276338,295142
276338,180389
80590,359530
80590,402938
80590,458900
131665,316144
131665,190436
131665,270768
125996,371127
125996,314838
125996,145389
27618,499519
27618,200771
27618,196120
210690,335815
210690,4152
210690,45080
334916,162017
334916,190252
334916,222584
136209,99999
136209,1
136209,10
92437,278116
92437,249110
92437,23660
24979,173561
24979,480413
24979,320490
277785,493638
277785,386197
277785,416276
227591,132134
227591,75319
227591,436362
249321,277856
249321,247780
249321,490813
136098,193779
136098,179731
136098,93693
307521,476474
307521,439777
307521,318010
1098698,143316
1098698,141430
1098698,266922
264594,478128
264594,304156
264594,327649
169778,347932
169778,489290
169778,393320
158887,378249
158887,487153
158887,419139
135516,268747
135516,24926
135516,87509
15607,192190
15607,392390
15607,493856
237945,409214
237945,325637
237945,90208
164912,284674
164912,433171
164912,81052
125627,99999
125627,1
125627,10
20597,6472
20597,61039
20597,105150
339888,278137
339888,275279
339888,138619
276298,353470
276298,13395
276298,13576
234651,21181
234651,114119
234651,48888
129565,99999
129565,1
129565,10
12903,331746
12903,296171
12903,453654
145821,414531
145821,253830
145821,313019
180592,459215
180592,154765
180592,484725
1098646,353542
1098646,496102
1098646,103320
176677,368717
176677,342029
176677,499844
9926,217748
9926,336886
9926,476587
1098641,164524
1098641,58801
1098641,286219
265960,119522
265960,214843
265960,217548
172787,450850
172787,73378
172787,106873
94865,48392
94865,303767
94865,442576
135386,99999
135386,1
135386,10
234998,421428
234998,341261
234998,379740
100616,241330
100616,30453
100616,383656
1098608,205782
1098608,264578
1098608,141978
305361,127731
305361,353880
305361,428465
61882,77177
61882,437958
61882,104315
338713,461228
338713,444072
338713,59326
1098600,213384
1098600,404862
1098600,135145
102506,172668
102506,32429
102506,238230
128113,352665
128113,73007
128113,357764
44072,129907
44072,272947
44072,331818
128200,463987
128200,317266
128200,5735
334433,309687
334433,232825
334433,72797
329901,328251
329901,151418
329901,487174
153027,64218
153027,469765
153027,422266
90941,393290
90941,216646
90941,342872
197964,99999
197964,1
197964,10
49802,99999
49802,1
49802,10
184452,463119
184452,214257
184452,141491
229325,336605
229325,142138
229325,119812
231292,196447
231292,406392
231292,17753
273481,386939
273481,288002
273481,70256
30188,148653
30188,140199
30188,287049
244808,382502
244808,306179
244808,66035
101451,172668
101451,32429
101451,238230
191971,89061
191971,321978
191971,250845
108622,240286
108622,158839
108622,59694
150087,460506
150087,444761
150087,371532
182393,387854
182393,213111
182393,273151
181222,258408
181222,219575
181222,202904
144491,285247
144491,494019
144491,468638
258485,277856
258485,247780
258485,490813
292094,340364
292094,398071
292094,243217
1098523,383652
1098523,183576
1098523,79731
277632,332092
277632,40691
277632,113181
1098520,367334
1098520,396986
1098520,220863
97295,408824
97295,486706
97295,106028
188908,266343
188908,120726
188908,58385
1098510,286129
1098510,271869
1098510,230540
107812,174275
107812,146288
107812,157426
310853,487572
310853,371871
310853,193120
208339,195062
208339,149989
208339,64941
1098497,269614
1098497,477794
1098497,109828
149790,434502
149790,392104
149790,368597
132263,99999
132263,1
132263,10
106508,207246
106508,381460
106508,400178
314907,39541
314907,404543
314907,367088
371695,62058
371695,92916
371695,479244
1098481,99999
1098481,1
1098481,10
12741,16845
12741,252589
12741,423981
305333,8561
305333,492718
305333,171764
28216,446055
28216,382087
28216,395595
20671,40991
20671,257793
20671,109013
320320,286895
320320,442860
320320,47955
86264,393919
86264,271306
86264,481381
220151,134723
220151,269553
220151,330131
316803,362011
316803,280528
316803,300885
70340,90777
70340,199591
70340,485269
223468,99999
223468,1
223468,10
59217,395730
59217,329907
59217,231177
276329,186477
276329,232007
276329,100553
236580,313463
236580,243746
236580,63437
130932,99999
130932,1
130932,10
139239,353412
139239,293322
139239,36185
206549,16723
206549,233277
206549,222468
234821,57833
234821,444574
234821,385842
93308,99999
93308,1
93308,10
174273,343287
174273,479858
174273,273808
278863,317358
278863,272115
278863,1130
199572,22971
199572,36348
199572,237004
285656,159181
285656,229963
285656,208172
31432,350508
31432,113695
31432,20645
347491,102610
347491,391706
347491,267585
207251,249420
207251,60783
207251,394507
54531,261072
54531,173685
54531,410588
56033,99999
56033,1
56033,10
300312,64156
300312,46042
300312,3564
107077,372301
107077,156667
107077,289645
160885,199824
160885,30247
160885,294911
209651,144656
209651,305556
209651,14606
1098355,113817
1098355,50262
1098355,213304
143464,166508
143464,105606
143464,194387
1098354,357968
1098354,445176
1098354,180874
183201,99999
183201,1
183201,10
1098338,408387
1098338,397870
1098338,393250
222158,289374
222158,158066
222158,205671
159667,48116
159667,235807
159667,166308
61180,480204
61180,242718
61180,218847
1098322,312072
1098322,403312
1098322,38064
99183,433464
99183,309749
99183,214265
85954,86705
85954,160402
85954,264052
153794,80229
153794,486477
153794,208389
239189,178169
239189,15748
239189,347177
195693,73664
195693,496924
195693,104072
209764,376232
209764,276379
209764,113927
190307,458075
190307,244712
190307,225684
343976,176857
343976,200706
343976,404876
29169,345147
29169,38096
29169,171959
86701,393106
86701,488812
86701,35153
24115,92897
24115,163912
24115,343494
123975,336307
123975,381892
123975,223962
167436,328780
167436,239167
167436,315442
160339,334105
160339,350630
160339,92712
267644,310021
267644,497938
267644,57427
119534,154816
119534,252358
119534,264288
10276,263933
10276,490181
10276,321707
21765,284121
21765,132195
21765,314584
119975,99999
119975,1
119975,10
165807,137976
165807,366221
165807,410998
195582,420358
195582,441537
195582,257501
114037,209729
114037,453223
114037,412436
282397,251641
282397,248582
282397,43439
1102028,280986
1102028,466388
1102028,334722
165480,218903
165480,231397
165480,292826
279718,191202
279718,196098
279718,33106
1098222,24596
1098222,343245
1098222,295259
103125,172668
103125,32429
103125,238230
181144,339254
181144,474009
181144,223231
55691,99999
55691,1
55691,10
212236,422163
212236,305936
212236,186906
359499,123756
359499,193724
359499,348263
119168,99999
119168,1
119168,10
19457,99999
19457,1
19457,10
162351,156716
162351,362829
162351,65929
371204,346057
371204,170934
371204,446292
190212,295167
190212,136069
190212,354303
183874,266187
183874,320507
183874,95689
357664,158779
357664,18887
357664,182140
259128,187817
259128,107831
259128,430477
1098180,295313
1098180,17113
1098180,388697
249792,17817
249792,354325
249792,431032
232703,272947
232703,129907
232703,331818
1098169,388697
1098169,53354
1098169,93535
133037,265145
133037,425944
133037,92337
226461,203157
226461,41589
226461,323596
318073,158073
318073,80259
318073,98744
277701,331557
277701,428299
277701,438469
183723,376793
183723,384372
183723,12890
228474,50346
228474,281279
228474,147247
62648,129907
62648,272947
62648,331818
72613,99999
72613,1
72613,10
53814,99999
53814,1
53814,10
17848,127893
17848,293355
17848,377130
139897,225552
139897,489339
139897,356831
328611,179422
328611,361913
328611,111586
154633,142016
154633,18475
154633,67904
259239,298044
259239,133350
259239,388422
137411,267617
137411,396282
137411,290912
22882,99999
22882,1
22882,10
309402,135701
309402,13942
309402,103173
114638,99999
114638,1
114638,10
324645,140
324645,42769
324645,404703
280927,91354
280927,392402
280927,390510
311067,18064
311067,108074
311067,306374
1098111,139588
1098111,130689
1098111,128950
118702,99999
118702,1
118702,10
1098110,187817
1098110,107831
1098110,430477
76770,188007
76770,194963
76770,398046
201366,177066
201366,2024
201366,13442
195440,427566
195440,156925
195440,436651
1098102,146519
1098102,202577
1098102,299449
142411,461330
142411,103792
142411,30578
234165,303529
234165,80183
234165,390278
1098090,256541
1098090,418092
1098090,462199
337073,23135
337073,311055
337073,453150
167156,415715
167156,145355
167156,82775
18101,296313
18101,40612
18101,199765
75342,228063
75342,193588
75342,377633
267012,437199
267012,106695
267012,288756
193742,420929
193742,41251
193742,130723
36473,190252
36473,334878
36473,122425
15039,332991
15039,39472
15039,498788
264410,115296
264410,312719
264410,118518
161224,490181
161224,387677
161224,95622
286160,501227
286160,45414
286160,176862
132359,99999
132359,1
132359,10
191632,394661
191632,169985
191632,366161
1098057,5347
1098057,287754
1098057,347322
170788,461657
170788,295783
170788,444332
1098048,194354
1098048,20007
1098048,63397
136700,28364
136700,66657
136700,85897
242713,381835
242713,46662
242713,261724
186390,346074
186390,177377
186390,149336
1102390,181477
1102390,112216
1102390,410673
324159,197485
324159,265712
324159,236145
196111,99999
196111,1
196111,10
78730,289374
78730,205671
78730,54651
40056,158073
40056,80259
40056,98744
9454,496539
9454,67317
9454,382129
295406,484984
295406,363709
295406,129374
184436,120013
184436,176224
184436,220734
78076,366597
78076,400745
78076,455327
265729,67804
265729,231919
265729,388487
212195,435362
212195,478514
212195,239175
152519,233579
152519,206215
152519,277166
126491,99999
126491,1
126491,10
57402,446519
57402,494551
57402,71392
139929,99999
139929,1
139929,10
131873,99999
131873,1
131873,10
185276,229123
185276,351023
185276,87394
27932,143316
27932,141430
27932,395595
160787,199824
160787,30247
160787,294911
323154,281878
323154,232693
323154,290586
377805,283729
377805,177904
377805,199052
1098013,475633
1098013,93801
1098013,407315
57882,433680
57882,413872
57882,289159
1098010,334165
1098010,246038
1098010,471846
334904,162017
334904,190252
334904,222584
20356,460841
20356,358573
20356,467393
303777,139948
303777,21669
303777,291082
367290,277230
367290,159590
367290,93031
284072,134230
284072,425810
284072,207742
1097999,460746
1097999,134608
1097999,52569
236949,141607
236949,186702
236949,444623
288884,81031
288884,187288
288884,88904
58801,99999
58801,1
58801,10
200296,263936
200296,48844
200296,379485
142039,346057
142039,170934
142039,446292
260762,8046
260762,281799
260762,156196
253965,407914
253965,482079
253965,413423
46579,392257
46579,187229
46579,320653
85904,424685
85904,314771
85904,314451
92260,429826
92260,11451
92260,351078
167566,391590
167566,106895
167566,200059
146244,107441
146244,67907
146244,381891
338040,397450
338040,335170
338040,257262
123710,226678
123710,187160
123710,162138
306105,353566
306105,495726
306105,30606
299094,62665
299094,270904
299094,296093
178468,156512
178468,208264
178468,324888
337209,162017
337209,190252
337209,222584
1097939,499834
1097939,450479
1097939,375912
74759,101542
74759,71062
74759,34784
202797,317745
202797,198584
202797,375760
1097937,441160
1097937,134863
1097937,351756
47741,464197
47741,190121
47741,493735
277799,483969
277799,159229
277799,242440
308687,477320
308687,127139
308687,288243
58571,65204
58571,149818
58571,485721
1102001,314780
1102001,444092
1102001,429513
323555,206168
323555,55016
323555,393425
259885,371300
259885,358883
259885,218945
1097909,314311
1097909,185344
1097909,336500
1097906,390510
1097906,283806
1097906,221178
255027,20295
255027,46250
255027,450234
1097905,161244
1097905,317283
1097905,331462
132104,464349
132104,313331
132104,328218
126525,179342
126525,353357
126525,80026
1097894,187817
1097894,107831
1097894,430477
142382,210269
142382,324830
142382,133812
1097885,247762
1097885,312739
1097885,245958
185299,286801
185299,105506
185299,426331
264150,358707
264150,230017
264150,251724
39577,99999
39577,1
39577,10
289556,223840
289556,240478
289556,373600
290499,357712
290499,34505
290499,202408
107283,159864
107283,233777
107283,24034
57614,128790
57614,166582
57614,374230
74356,238192
74356,319104
74356,483829
310948,183265
310948,449858
310948,4117
211621,473608
211621,129771
211621,329989
1101995,3825
1101995,31402
1101995,489799
294518,471428
294518,104393
294518,471108
329958,56045
329958,168036
329958,491127
157149,8919
157149,392648
157149,372223
149853,381891
149853,333745
149853,67907
204924,205303
204924,437678
204924,198312
144857,292416
144857,26501
144857,222154
227637,276570
227637,60011
227637,256564
207595,456444
207595,467817
207595,112278
337190,169782
337190,45847
337190,123314
113664,195635
113664,174141
113664,346446
181301,99999
181301,1
181301,10
237561,331236
237561,152439
237561,126732
62439,153458
62439,395341
62439,228707
362076,320049
362076,448513
362076,304756
1097796,20295
1097796,57220
1097796,489038
88284,211694
88284,196003
88284,477271
139767,108256
139767,74683
139767,400148
13397,201921
13397,399850
13397,220137
239511,204947
239511,476934
239511,381244
214040,439948
214040,418262
214040,65239
226509,462553
226509,306166
226509,442424
1097786,40691
1097786,332092
1097786,300922
202073,227769
202073,371777
202073,488517
250367,403198
250367,273631
250367,163031
313940,346950
313940,12780
313940,173668
326509,445487
326509,237867
326509,42725
236427,452628
236427,367333
236427,157745
32642,172668
32642,32429
32642,238230
267187,467853
267187,347897
267187,41093
51276,416069
51276,23237
51276,385352
145877,195673
145877,324985
145877,493413
256052,191927
256052,285375
256052,410453
10205,443124
10205,276623
10205,247785
112718,231616
112718,404564
112718,388984
342115,327423
342115,354570
342115,57364
244902,450785
244902,320433
244902,191030
212634,277230
212634,159590
212634,93031
323096,279514
323096,3023
323096,285448
46095,459903
46095,317751
46095,10052
1097723,372208
1097723,264144
1097723,295976
65583,61111
65583,429389
65583,227513
1097721,67804
1097721,231919
1097721,388487
64179,99999
64179,1
64179,10
139090,206656
139090,201744
139090,407778
299939,359156
299939,140523
299939,57144
184235,99999
184235,1
184235,10
196596,325777
196596,198836
196596,480407
154301,86548
154301,180295
154301,368134
82293,99999
82293,1
82293,10
267341,290290
267341,238378
267341,319814
1097674,325747
1097674,104503
1097674,372781
17635,489665
17635,137292
17635,53964
262232,393497
262232,336798
262232,211649
93649,89865
93649,385124
93649,174047
285537,192652
285537,189927
285537,175517
51090,176524
51090,100500
51090,160906
34039,375832
34039,308193
34039,245865
1215,459140
1215,485838
1215,61802
335711,80011
335711,378919
335711,321247
66154,85945
66154,384311
66154,372519
276208,327169
276208,50089
276208,360075
144694,401984
144694,193339
144694,19724
21861,324842
21861,473587
21861,246223
250636,132930
250636,273725
250636,478805
299110,111649
299110,292484
299110,261072
302337,264605
302337,177466
302337,177425
163602,279973
163602,328117
163602,303152
31595,40639
31595,491866
31595,154043
146598,57120
146598,423378
146598,67850
70852,217373
70852,356963
70852,106446
271038,251482
271038,423267
271038,271157
30956,219167
30956,102303
30956,190238
193866,99999
193866,1
193866,10
249802,296049
249802,34456
249802,403060
116939,154816
116939,252358
116939,264288
69506,437529
69506,87622
69506,316617
328474,254576
328474,488644
328474,251066
189466,70095
189466,309817
189466,380716
1097602,165723
1097602,386732
1097602,463799
1101977,275266
1101977,279983
1101977,103678
140804,99999
140804,1
140804,10
325292,328605
325292,400235
325292,108712
203390,152357
203390,323189
203390,245979
298550,134797
298550,26072
298550,499622
30860,213399
30860,279720
30860,279521
143293,409272
143293,80204
143293,396023
192894,342802
192894,149650
192894,485058
283154,323703
283154,77556
283154,358030
551309,394942
551309,226704
551309,125761
65038,308999
65038,193248
65038,437129
448630,57248
448630,467771
448630,344508
459280,151940
459280,271528
459280,445657
757275,99999
757275,1
757275,10
116820,494348
116820,253851
116820,428335
128772,312916
128772,58638
128772,233370
432653,472388
432653,23990
432653,158017
550565,479928
550565,269012
550565,82166
573954,386398
573954,381820
573954,59827
37952,221308
37952,441317
37952,97162
706950,150424
706950,355834
706950,140892
492853,391221
492853,224178
492853,115616
451406,387706
451406,79547
451406,274281
571103,137630
571103,394647
571103,229066
699510,202011
699510,225089
699510,422937
418353,402798
418353,12012
418353,45940
441409,416043
441409,73080
441409,18129
438286,49904
438286,199487
438286,479592
533105,80993
533105,146800
533105,227718
689851,468377
689851,501170
689851,244555
694561,388704
694561,194478
694561,290578
405660,491661
405660,191161
405660,250848
163860,491886
163860,170934
163860,346057
559507,479592
559507,264167
559507,286938
464860,67927
464860,205952
464860,428234
583234,40639
583234,356675
583234,102272
392393,83303
392393,376323
392393,268494
431602,53520
431602,439303
431602,461874
298940,376030
298940,30183
298940,466344
560673,6472
560673,61039
560673,105150
709342,370111
709342,125055
709342,372115
409854,130676
409854,200716
409854,172541
398447,340835
398447,129405
398447,13337
633399,240079
633399,472388
633399,442179
